1101,http://web.mta.info/nyct/service/,153rd St & Archer Ave at SW corner,POINT( -73.80174700 40.70187400),E-J-Z
538,http://web.mta.info/nyct/service/,153rd St & Hillside Ave at NE corner,POINT( -73.80449800 40.70735800),F
537,http://web.mta.info/nyct/service/,153rd St & Hillside Ave at SE corner,POINT( -73.80433200 40.70706200),F
539,http://web.mta.info/nyct/service/,153rd St & Hillside Ave at SW corner,POINT( -73.80462000 40.70706300),F
1102,http://web.mta.info/nyct/service/,158th St & Archer Ave at SW corner,POINT( -73.80247800 40.70164000),E-J-Z
1368,http://web.mta.info/nyct/service/,15th St & Avenue H at SE corner (exit only),POINT( -73.96188200 40.62988400),B-Q
279,http://web.mta.info/nyct/service/,15th St & Avenue J at NE corner,POINT( -73.96096900 40.62530700),B-Q
1915,http://web.mta.info/nyct/service/,15th St & Avenue J at SE corner,POINT( -73.96079200 40.62513000),B-Q
1916,http://web.mta.info/nyct/service/,15th St & Avenue M at SE corner,POINT( -73.95945400 40.61792800),B-Q
2,http://web.mta.info/nyct/service/,15th St & Avenue U at SE corner,POINT( -73.95582800 40.59899100),B-Q
3,http://web.mta.info/nyct/service/,15th St & Gravesend Neck Rd at NE corner,POINT( -73.95512000 40.59502000),B-Q
282,http://web.mta.info/nyct/service/,15th St & Kings Hwy at NE corner,POINT( -73.95780800 40.60906200),B-Q
1,http://web.mta.info/nyct/service/,15th St & Kings Hwy at SE corner,POINT( -73.95776900 40.60883500),B-Q
4,http://web.mta.info/nyct/service/,15th St & Sheepshead Bay Rd at SE corner,POINT( -73.95422400 40.58730200),B-Q
536,http://web.mta.info/nyct/service/,168th St & Hillside Ave at NE corner,POINT( -73.79473000 40.71018400),F
534,http://web.mta.info/nyct/service/,168th St & Hillside Ave at NW corner,POINT( -73.79492200 40.71015400),F
535,http://web.mta.info/nyct/service/,168th St & Hillside Ave at SE corner,POINT( -73.79456400 40.70985200),F
533,http://web.mta.info/nyct/service/,168th St & Hillside Ave at SW corner,POINT( -73.79471200 40.70981200),F
822,http://web.mta.info/nyct/service/,169th St & Hillside Ave at NE corner,POINT( -73.79276100 40.71096800),F
824,http://web.mta.info/nyct/service/,169th St & Hillside Ave at NW corner,POINT( -73.79324800 40.71083000),F
821,http://web.mta.info/nyct/service/,169th St & Hillside Ave at SE corner,POINT( -73.79285300 40.71056300),F
823,http://web.mta.info/nyct/service/,169th St & Hillside Ave at SW corner,POINT( -73.79302200 40.71049500),F
1628,http://web.mta.info/nyct/service/,16th St & Avenue H at SW corner,POINT( -73.96147700 40.62993000),B-Q
820,http://web.mta.info/nyct/service/,179th Pl & Hillside Ave at SW corner,POINT( -73.78342700 40.71254800),F
1520,http://web.mta.info/nyct/service/,179th Pl & Hillside Ave at SW corner1,POINT( -73.78337700 40.71258100),F
527,http://web.mta.info/nyct/service/,179th St & Hillside Ave at NE corner,POINT( -73.78441100 40.71264000),F
529,http://web.mta.info/nyct/service/,179th St & Hillside Ave at NE corner1,POINT( -73.78466900 40.71257500),F
531,http://web.mta.info/nyct/service/,179th St & Hillside Ave at NW corner,POINT( -73.78506400 40.71248300),F
528,http://web.mta.info/nyct/service/,179th St & Hillside Ave at SE corner,POINT( -73.78428000 40.71229500),F
530,http://web.mta.info/nyct/service/,179th St & Hillside Ave at SW corner,POINT( -73.78445600 40.71224000),F
532,http://web.mta.info/nyct/service/,179th St & Hillside Ave at SW corner1,POINT( -73.78496800 40.71224200),F
298,http://web.mta.info/nyct/service/,17th Ave & 64th St at NE corner,POINT( -73.99146900 40.62130600),N
817,http://web.mta.info/nyct/service/,180th St & Hillside Ave at NW corner,POINT( -73.78317900 40.71294000),F
819,http://web.mta.info/nyct/service/,180th St & Hillside Ave at NW corner1,POINT( -73.78336300 40.71289200),F
1524,http://web.mta.info/nyct/service/,180th St & Hillside Ave at NW corner2,POINT( -73.78262400 40.71311300),F
818,http://web.mta.info/nyct/service/,180th St & Hillside Ave at SW corner,POINT( -73.78327400 40.71266900),F
1521,http://web.mta.info/nyct/service/,180th St & Hillside Ave at SW corner1,POINT( -73.78241800 40.71286500),F
1523,http://web.mta.info/nyct/service/,180th St & Hillside Ave at SW corner2,POINT( -73.78263700 40.71272300),F
1525,http://web.mta.info/nyct/service/,180th St & Hillside Ave at SW corner3,POINT( -73.78303500 40.71272300),F
56,http://web.mta.info/nyct/service/,18th Ave & 64th St at NW corner,POINT( -73.98941000 40.62006200),N
36,http://web.mta.info/nyct/service/,18th Ave & 85th St at NE corner,POINT( -74.00162800 40.60789700),D
34,http://web.mta.info/nyct/service/,18th Ave & 85th St at SE corner,POINT( -74.00149100 40.60760200),D
35,http://web.mta.info/nyct/service/,18th Ave & 85th St at SE corner1,POINT( -74.00189400 40.60772300),D
1624,http://web.mta.info/nyct/service/,18th St & Church Ave at NW corner,POINT( -73.96335600 40.64942700),B-Q
127,http://web.mta.info/nyct/service/,1st Ave & 14th St at NE corner,POINT( -73.98211200 40.73139700),L
128,http://web.mta.info/nyct/service/,1st Ave & 14th St at NE corner1,POINT( -73.98214500 40.73148300),L
329,http://web.mta.info/nyct/service/,1st Ave & 14th St at SE corner,POINT( -73.98262500 40.73105000),L
330,http://web.mta.info/nyct/service/,1st Ave & 14th St at SE corner1,POINT( -73.98256300 40.73111800),L
1025,http://web.mta.info/nyct/service/,1st Ave & Houston St at NW corner,POINT( -73.98886300 40.72320000),F
57,http://web.mta.info/nyct/service/,20th Ave & 64th St at NE corner,POINT( -73.98484000 40.61734100),N
38,http://web.mta.info/nyct/service/,20th Ave & 86th St at NE corner,POINT( -73.99800700 40.60458700),D
40,http://web.mta.info/nyct/service/,20th Ave & 86th St at NW corner,POINT( -73.99834900 40.60478900),D
37,http://web.mta.info/nyct/service/,20th Ave & 86th St at SE corner,POINT( -73.99816400 40.60443900),D
39,http://web.mta.info/nyct/service/,20th Ave & 86th St at SW corner,POINT( -73.99849800 40.60463100),D
982,http://web.mta.info/nyct/service/,21st St & 41st Ave at NE corner,POINT( -73.94213200 40.75406900),F
983,http://web.mta.info/nyct/service/,21st St & 41st Ave at NE corner1,POINT( -73.94193500 40.75425500),F
979,http://web.mta.info/nyct/service/,21st St & 41st Ave at NW corner,POINT( -73.94237400 40.75432200),F
980,http://web.mta.info/nyct/service/,21st St & 41st Ave at NW corner1,POINT( -73.94249100 40.75413100),F
981,http://web.mta.info/nyct/service/,21st St & 41st Ave at NW corner2,POINT( -73.94252100 40.75419500),F
877,http://web.mta.info/nyct/service/,21st St & 44th Ave at NE corner,POINT( -73.94716300 40.74819500),7-E-G-M
876,http://web.mta.info/nyct/service/,21st St & 44th Ave at SE corner,POINT( -73.94724000 40.74795400),7-E-G-M
1826,http://web.mta.info/nyct/service/,21st St & 49th Ave at NE corner,POINT( -73.94860900 40.74250000),7
1827,http://web.mta.info/nyct/service/,21st St & 49th Ave at NE corner1,POINT( -73.94811000 40.74240500),7
1828,http://web.mta.info/nyct/service/,21st St & 49th Ave at NE corner2,POINT( -73.94819500 40.74242200),7
1093,http://web.mta.info/nyct/service/,23rd St & 44th Ave at NE corner (exit only),POINT( -73.94462600 40.74770600),7-E-G-M
1825,http://web.mta.info/nyct/service/,23rd St & 45th Rd at NE corner,POINT( -73.94532200 40.74623200),7-E-G-M
1823,http://web.mta.info/nyct/service/,23rd St & 45th Rd at NW corner,POINT( -73.94571300 40.74630800),7-E-G-M
1824,http://web.mta.info/nyct/service/,23rd St & 45th Rd at SE corner,POINT( -73.94534900 40.74613000),7-E-G-M
45,http://web.mta.info/nyct/service/,25th Ave & 86th St at NE corner,POINT( -73.98695800 40.59788900),D
46,http://web.mta.info/nyct/service/,25th Ave & 86th St at NW corner,POINT( -73.98727900 40.59810000),D
47,http://web.mta.info/nyct/service/,25th Ave & 86th St at SE corner,POINT( -73.98711200 40.59775100),D
48,http://web.mta.info/nyct/service/,25th Ave & 86th St at SW corner,POINT( -73.98744200 40.59795200),D
1923,http://web.mta.info/nyct/service/,2nd Ave & 69th St at SE corner,POINT( -73.95947434 40.76704012),Q
1924,http://web.mta.info/nyct/service/,2nd Ave & 69th St at SE corner1,POINT( -73.95959173 40.76688377),Q
1921,http://web.mta.info/nyct/service/,2nd Ave & 72nd St at NW corner,POINT( -73.95856693 40.76899319),Q
1922,http://web.mta.info/nyct/service/,2nd Ave & 72nd St at SE corner,POINT( -73.95828743 40.76869408),Q
1925,http://web.mta.info/nyct/service/,2nd Ave & 86th St at NE corner,POINT( -73.95133606 40.77781827),Q
1926,http://web.mta.info/nyct/service/,2nd Ave & 86th St at NE corner1,POINT( -73.95145984 40.77786374),Q
1927,http://web.mta.info/nyct/service/,2nd Ave & 86th St at SE corner,POINT( -73.95162525 40.77774066),Q
1931,http://web.mta.info/nyct/service/,2nd Ave & 94th St at NE corner,POINT( -73.94772939 40.78292439),Q
1932,http://web.mta.info/nyct/service/,2nd Ave & 94th St at SW corner,POINT( -73.94823792 40.78296691),Q
1930,http://web.mta.info/nyct/service/,2nd Ave & 95th St at NW corner,POINT( -73.94761890 40.78391609),Q
1929,http://web.mta.info/nyct/service/,2nd Ave & 96th St at SW corner,POINT( -73.94747300 40.78409888),Q
1928,http://web.mta.info/nyct/service/,2nd Ave & bet 83rd & 84th St,POINT( -73.95281424 40.77618771),Q
498,http://web.mta.info/nyct/service/,2nd Ave & Houston St at NW corner,POINT( -73.99129800 40.72395000),F
1527,http://web.mta.info/nyct/service/,31st St & 23rd Ave at NE corner,POINT( -73.91215100 40.77481000),N-Q
1528,http://web.mta.info/nyct/service/,31st St & 23rd Ave at NE corner1,POINT( -73.91189100 40.77502500),N-Q
1526,http://web.mta.info/nyct/service/,31st St & 23rd Ave at NW corner,POINT( -73.91207400 40.77514900),N-Q
1529,http://web.mta.info/nyct/service/,31st St & 23rd Ave at NW corner1,POINT( -73.91233700 40.77493800),N-Q
1537,http://web.mta.info/nyct/service/,31st St & 30th Ave at NE corner,POINT( -73.92119200 40.76696300),N-Q
1536,http://web.mta.info/nyct/service/,31st St & 30th Ave at NW corner,POINT( -73.92140900 40.76705200),N-Q
1535,http://web.mta.info/nyct/service/,31st St & 30th Ave at SE corner,POINT( -73.92140600 40.76670000),N-Q
1534,http://web.mta.info/nyct/service/,31st St & 30th Ave at SW corner,POINT( -73.92162900 40.76678700),N-Q
